id;nazwa;cena;skladniki;url;typ_wlosow;typ_skory;porowatosc_wlosow
0;Syoss Curls&Waves;19;aqua, sodium laureth sulfate, cocamidopropyl betaine, sodium chloride, peg-7 glyceryl cocoate, hydrolyzed keratin, panthenol, dimethicone, sodium benzoate, parfum, citric acid, amodimethicone, guar hydroxypropyltrimonium chloride, peg-40 hydrogenated castor oil, hydrogenated castor oil, glycol distearate, laureth-4, peg-120 methyl glucose dioleate, benzyl salicylate, hexyl cinnamal, laureth-23, prunus armeniaca kernel oil, trideceth-10, sodium hydroxide, citronellol, tetramethyl acetyloctahydronaphthalenes, propylene glycol, limonene, linalyl acetate, linalool, phenoxyethanol, sodium salicylate;https://www.hebe.pl/syoss-szampon-do-wlosow-falowanych-i-kreconych-440-ml-000000000000376882.html;puszace/suche;normalna;wysoka
1;Dermedic Capilarte;49;aqua, decyl glucoside, ammonium lauryl sulfate, cocamidopropyl hydroxysultaine, cocamidopropyl betaine, polyquaternium-7, laureth-9, panthenol, parfum, potassium sorbate, sodium benzoate, citric acid;https://www.hebe.pl/dermedic-szampon-kojacy-do-skory-nadwrazliwej-300ml-000000000000303801.html;normalne;normalna;srednia
2;beBIO Ewa Chodakowska;29;aqua, sodium coco-sulfate, cocamidopropyl betaine, glycerin, camellia sinensis leaf extract, phyllanthus emblica fruit extract, bisabolol, fructose, urea, maltose, sodium pca, trehalose, allantoin, sodium hyaluronate, glucose, lactobacillus, leuconostoc, guar hydroxypropyltrimonium chloride, pentylene glycol, sodium chloride, sodium lactate, maris sal, citric acid, lactic acid, sodium hydroxide, sodium benzoate, potassium sorbate, parfum, benzyl salicylate, hexyl cinnamal, limonene, linalool;https://www.hebe.pl/bebio-normalizujacy-szampon-do-wlosow-przetluszczajacych-sie-300-ml-000000000000409882.html;normalne;sucha/wrazliwa;srednia
3;Sessio Hair Vege Cocktail;17;aqua, sodium lauroyl methyl isethionate, cocamidopropyl betaine, mangifera indica fruit extract, carum petroselinum extract, polyquaternium-10, glycerin, phenoxyethanol, caprylyl glycol, parfum, polysorbate 20, sodium chloride, citric acid, sodium benzoate, potassium sorbate;https://www.hebe.pl/sessio-odzywczy-szampon-do-wlosow-z-ekstraktem-z-mango-300-g-000000000000364652.html;krecone/falowane;normalna;srednia
4;Yumi Malinowe Nawilżenie;22;aqua, sodium coco-sulfate, cocamidopropyl betaine, lauryl glucoside, aloe barbadensis leaf juice, rubus idaeus fruit extract, glycerin, lysine, glycine, hydrogenated vegetable glycerides citrate, vitis vinifera fruit extract, pyrus communis fruit extract, citrus grandis fruit extract, coco-glucoside, glyceryl oleate, glucose, urea, allantoin, glutamic acid, sodium pca, propylene glycol, tocopherol, gluconolactone, hydroxypropyl guar hydroxypropyltrimonium chloride, lactic acid, disodium edta, citric acid, sodium chloride, parfum, sodium benzoate, potassium sorbate;https://www.hebe.pl/yumi-nawilzajacy-szampon-do-wlosow-300-ml-000000000000407623.html;normalne;sucha/wrazliwa;srednia
5;Sielanka Dziewczyna jak malina;8;aqua, sodium laureth sulfate, cocamidopropyl betaine, hydrolyzed keratin, rubus idaeus seed oil, triticum vulgare germ extract, ocimum basilicum hairy root culture extract, raphanus sativus extract, allantoin, helianthus annuus seed oil, rubus idaeus fruit extract, bht, ascorbyl pamitate, guar hydroxypropyltrimonium chloride, citric acid, sodium benzoate, potassium sorbate, alcohol, parfum, cl 16035;https://www.hebe.pl/sielanka-szampon-do-wlosow-zniszczonych-400-ml-000000000000411520.html;normalne;sucha/wrazliwa;wysoka
6;Sielanka Leśna Jeżyna;8;aqua, sodium laureth sulfate, cocamidopropyl betaine, allantoin, rubus fruticosus seed oil, helianthus annuus seed oil, rubus idaeus fruit extract, rubus fruticosus fruit extract, fragaria ananassa fruit extract, bht, ascorbyl palmitate, polyquaternium-10, glycerin, citrus limon fruit extract, decyl glucoside, citric acid, styrene, acrylates copolymer, guar hydroxypropyltrimonium chloride, sodium benzoate, potassium sorbate, sodium chloride, tetrasodium edta, parfum, ci 60730;https://www.hebe.pl/sielanka-szampon-do-wlosow-blond-i-rozjasnianych-400-ml-000000000000411673.html;krecone/falowane;sucha/wrazliwa;srednia
7;Anwen Wake It Up;37;aqua, sodium laureth sulfate, coco-glucoside, propanediol, polysorbate 20, gluconolactone, acacia senegal gum, xanthan gum, cetrimonium chloride, ficin, caffeine, lactobacillus, bacillus ferment, coffea arabica seed extract, dipotassium glycyrrhizate, disodium edta, glycerin, butylene glycol, propylene glycol, sodium benzoate, calcium gluconate, citric acid, parfum;https://www.hebe.pl/anwen-enzymatyczny-szampon-kawowy-do-wlosow-200-ml-000000000000383157.html;normalne;normalna;srednia
8;L'Oréal Paris Elseve Hyaluron Plump;18;aqua, sodium laureth sulfate, glycol distearate, sodium chloride, cocamidopropyl betaine, dimethicone, ci 60730, guar hydroxypropyltrimonium chloride, cocamide mea, coco-betaine, sodium benzoate, sodium hydroxide, sodium hyaluronate, steareth-6, phenoxyethanol, acetic acid, peg-100 stearate, tridecth-10, tridecth-3, salicylic acid, limonene, fumaric acid, amodimethicone, carbomer, citric acid, hexylene glycol, parfum;https://www.hebe.pl/loreal-paris-nawilzajacy-szampon-do-wlosow-400-ml-000000000000410264.html;puszace/suche;tlusta/lupiez;niska
9;Hair Of The Day By Only Bio;14;aqua, lauryl glucoside, sodium methyl cocoyl taurate, sodium cocoyl isethionate, disodium lauryl sulfosuccinate, sodium lauryl glucose carboxylate, sodium olivamphoacetate, ceramide np, ceramide ap, ceramide eop, ceramide ng, olea europaea fruit oil, withania somnifera root extract, ganoderma lucidum extract, rhodiola rosea root extract, caffeine, prunus armeniaca kernel oil, ricinus communis seed oil, helianthus annus seed oil, tocopherol, phytosphingosine, cholesterol, polyglyceryl-10 stearate, polyglyceryl-6 behenate, coco-glucoside, glycol distearate, cetearyl alcohol, glyceryl stearate, sodium cetearyl sulfate, triethyl citrate, sodium levulinate, behenic acid, lysolecithin, xantan gum, glycerin, sodium chloride, citric acid, sodium dehydroacetate, potassium sorbate, sodium benzoate, ci 15985, ci 16035, parfum, tetramethyl acetyloctahydronaphthalenes, citrus aurantium peel oil, linalool, citronellol, limonene;https://www.hebe.pl/hair-of-the-day-ceramidowy-szampon-intensywnie-rewitalizujacy-do-wlosow-300-ml-000000000000536104.html;normalne;normalna;srednia
